Datum + Uhrzeit,Durchfluss Zähler Fernwärme (m³/h),Durchfluss Wasserzähler TWE (m³/h),Durchfluss m³ Zähler Zirkulation (m³/h)
19.12.2024 01:20,0,0,"0,6"
19.12.2024 01:25,0,0,"0,6"
19.12.2024 01:30,0,0,"0,6"
19.12.2024 01:35,0,0,"0,6"
19.12.2024 01:40,0,0,"0,6"
19.12.2024 01:45,0,0,"0,6"
19.12.2024 01:50,0,0,"0,61"
19.12.2024 01:55,0,0,"0,61"
19.12.2024 02:00,0,0,"0,6"
19.12.2024 02:05,0,0,"0,61"
19.12.2024 02:10,0,0,"0,6"
19.12.2024 02:15,0,0,"0,6"
19.12.2024 02:20,0,0,"0,61"
19.12.2024 02:25,0,0,"0,6"
19.12.2024 02:30,0,0,"0,6"
19.12.2024 02:35,"4,62",0,"0,6"
19.12.2024 02:40,"4,13",0,"0,61"
19.12.2024 02:45,"4,14",0,"0,6"
19.12.2024 02:50,"4,15",0,"0,61"
19.12.2024 02:55,"0,14",0,"0,6"
19.12.2024 03:00,"0,02",0,"0,6"
19.12.2024 03:05,0,0,"0,61"
19.12.2024 03:10,0,0,"0,6"
19.12.2024 03:15,0,0,"0,61"
19.12.2024 03:20,0,0,"0,6"
19.12.2024 03:25,0,0,"0,6"
19.12.2024 03:30,0,0,"0,6"
19.12.2024 03:35,0,0,"0,6"
19.12.2024 03:40,0,0,"0,6"
19.12.2024 03:45,0,0,"0,6"
19.12.2024 04:05,0,0,"0,6"
19.12.2024 04:10,0,0,"0,6"
19.12.2024 04:15,0,0,"0,6"
19.12.2024 04:20,0,0,"0,61"
19.12.2024 04:25,0,0,"0,61"
19.12.2024 04:30,"4,13",0,"0,61"
19.12.2024 04:35,"4,15",0,"0,6"
19.12.2024 04:40,"4,13",0,"0,6"
19.12.2024 04:45,"0,11",0,"0,6"
19.12.2024 04:50,"0,06",0,"0,61"
19.12.2024 04:55,"0,01",0,"0,6"
19.12.2024 05:00,0,0,"0,6"
19.12.2024 05:05,"6,58",0,"0,6"
19.12.2024 05:10,"6,45",0,"0,6"
19.12.2024 05:15,"6,59",0,"0,61"
19.12.2024 05:20,"5,71",0,"0,6"
19.12.2024 05:25,"5,4",0,"0,6"
19.12.2024 05:30,"2,98",0,"0,6"
19.12.2024 05:35,"2,76",0,"0,6"
19.12.2024 05:40,"2,88",0,"0,61"
19.12.2024 05:45,"2,73",0,"0,6"
19.12.2024 05:50,"2,64",0,"0,6"
19.12.2024 05:55,"2,59",0,"0,61"
19.12.2024 06:00,"2,7",0,"0,6"
19.12.2024 06:05,"2,82",0,"0,6"
19.12.2024 06:10,"2,83",0,"0,61"
19.12.2024 06:15,"4,46",0,"0,6"
19.12.2024 06:20,"4,79",0,"0,6"
19.12.2024 06:25,"5,02",0,"0,6"
19.12.2024 06:30,"5,07",0,"0,6"
19.12.2024 06:35,"3,72",0,"0,6"
19.12.2024 06:40,"3,17",0,"0,6"
19.12.2024 06:45,"2,72",0,"0,6"
19.12.2024 06:50,"2,66",0,"0,6"
19.12.2024 06:55,"2,45",0,"0,6"
19.12.2024 07:00,"2,47",0,"0,6"
19.12.2024 07:05,"2,54",0,"0,6"
19.12.2024 07:10,"2,54",0,"0,6"
19.12.2024 07:15,"2,54",0,"0,61"
19.12.2024 07:20,"2,47",0,"0,6"
19.12.2024 07:25,"2,57",0,"0,6"
19.12.2024 07:30,"2,47",0,"0,6"
19.12.2024 07:35,"2,54",0,"0,61"
19.12.2024 07:40,"2,52",0,"0,59"
19.12.2024 07:45,"2,54",0,"0,59"
19.12.2024 07:50,"4,25",0,"0,59"
19.12.2024 07:55,"4,99",0,"0,6"
19.12.2024 08:00,"5,09",0,"0,6"
19.12.2024 08:05,"5,18",0,"0,6"
19.12.2024 08:10,"3,62",0,"0,6"
19.12.2024 08:15,"3,43",0,"0,6"
19.12.2024 08:20,"2,93",0,"0,6"
19.12.2024 08:25,"2,88",0,"0,59"
19.12.2024 08:30,"2,79",0,"0,6"
19.12.2024 08:35,"2,59",0,"0,59"
19.12.2024 08:40,"2,42",0,"0,59"
19.12.2024 08:45,"2,32",0,"0,6"
19.12.2024 08:50,"2,31",0,"0,6"
19.12.2024 08:55,"2,4",0,"0,6"
19.12.2024 09:00,"2,5",0,"0,6"
19.12.2024 09:05,"2,57",0,"0,6"
19.12.2024 09:10,"2,64",0,"0,6"
19.12.2024 09:15,"5,39",0,"0,6"
19.12.2024 09:20,"4,74",0,"0,6"
19.12.2024 09:25,"4,99",0,"0,6"
19.12.2024 09:30,"5,09",0,"0,6"
19.12.2024 09:35,"5,07",0,"0,61"
19.12.2024 09:40,"3,66",0,"0,6"
19.12.2024 09:45,"2,9",0,"0,58"
19.12.2024 09:50,"2,66",0,"0,6"
19.12.2024 09:55,"2,46",0,"0,6"
19.12.2024 10:00,"2,47",0,"0,6"
19.12.2024 10:05,"2,53",0,"0,59"
